entry_time,exit_time,direction,entry,exit,units,pnl,return_pct,exit_reason
2024-11-05 14:00:00+00:00,2024-11-05 15:00:00+00:00,LONG,1.23586,1.23717,506114,660.61,0.661,TARGET
2024-11-06 14:00:00+00:00,2024-11-07 01:00:00+00:00,LONG,1.23669,1.23794,552785,691.61,0.687,TARGET
2024-11-07 16:00:00+00:00,2024-11-07 17:00:00+00:00,LONG,1.2368,1.238,639595,763.84,0.754,TARGET
2024-11-07 20:00:00+00:00,2024-11-08 05:00:00+00:00,LONG,1.23692,1.23797,599258,627.68,0.615,TARGET
2024-11-12 14:00:00+00:00,2024-11-12 16:00:00+00:00,LONG,1.23797,1.23618,609103,-1088.35,-1.059,STOP
2024-11-18 14:00:00+00:00,2024-11-18 15:00:00+00:00,LONG,1.23939,1.2376,603417,-1076.9,-1.059,STOP
2024-11-22 09:00:00+00:00,2024-11-22 10:00:00+00:00,LONG,1.24184,1.24036,725999,-1078.38,-1.072,STOP
2024-11-25 10:00:00+00:00,2024-11-25 12:00:00+00:00,LONG,1.24184,1.24008,601005,-1055.1,-1.06,STOP
2024-11-29 14:00:00+00:00,2024-11-29 16:00:00+00:00,LONG,1.24219,1.24012,499790,-1034.43,-1.051,STOP
2024-12-24 15:00:00+00:00,2024-12-24 16:00:00+00:00,SHORT,1.18319,1.18193,581782,735.2,0.755,TARGET
2024-12-30 18:00:00+00:00,2024-12-31 04:00:00+00:00,SHORT,1.1758,1.17347,562577,1313.4,1.338,TARGET
