candidate,fold,train_n,train_wr,train_pf,train_sum_r,test_n,test_wr,test_pf,test_sum_r,params
baseline,0,20,0.7,1.9407715117637172,6.323010000000001,10,0.6,1.2167637584490967,0.92391,{}
baseline,1,21,0.6666666666666666,1.5901835264964768,4.57286,9,0.6666666666666666,1.3940953047149205,1.2845300000000002,{}
baseline,2,21,0.6666666666666666,1.466216455438923,3.5553899999999996,10,0.7,1.7235004916420846,2.06024,{}
baseline,3,21,0.7142857142857143,1.8801350913923887,5.5196,8,0.75,2.163330896450888,2.5301400000000003,{}
baseline,4,21,0.7619047619047619,2.109548257958688,6.14186,12,0.6666666666666666,1.4633353890244232,2.04355,{}
baseline,5,24,0.7083333333333334,1.670303740679651,5.2383500000000005,13,0.3076923076923077,0.3609309513467246,-5.9879299999999995,{}
baseline,6,28,0.5357142857142857,0.8867903326670312,-1.6220499999999995,6,0.8333333333333334,3.823057206934605,3.1720999999999995,{}
baseline,7,24,0.5,0.7478244173549472,-3.16526,10,0.7,1.92414055798311,2.98417,{}
baseline,8,20,0.7,1.817848227771739,5.409239999999999,10,0.5,0.7274442850204471,-1.47028,{}
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.4,0,33,0.6666666666666666,1.4357351816085129,5.46191,16,0.75,1.9601367707715458,4.1923699999999995,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.4,1,32,0.6875,1.5688595616951173,6.36394,12,0.4166666666666667,0.4683080153653262,-3.99046,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.4,2,32,0.59375,0.9576159887697727,-0.6044600000000001,13,0.5384615384615384,0.7858830857450496,-1.3681299999999996,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.4,3,27,0.5185185185185185,0.7896772033830413,-2.9403799999999998,13,0.7692307692307693,2.3180324190584773,4.34695,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.4,4,30,0.6333333333333333,1.1960938595335913,2.307759999999999,17,0.7058823529411765,1.6789245901639345,3.8825999999999996,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.4,5,32,0.71875,1.7747900868706235,8.00025,19,0.3157894736842105,0.3043607870172772,-9.40427,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
grid_bb_std=1.4_stop_atr_mult=1.25_min_rr=0.4,6,41,0.5609756097560976,0.8784591581982489,-2.4886799999999996,8,0.875,4.5329365911633115,4.04281,"{""bb_std"": 1.4, ""stop_atr_mult"": 1.25, ""min_rr"": 0.4}"
